#OTU ID,Y,Y20,Y20G,Y4,Y80,Y80G,taxonomy,rrn,rarity group
ASV_237,10,64,0,0,50,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium,#N/A,#N/A
ASV_238,2,2,77,8,2,208,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter,2.95,MT
ASV_239,223,1,0,11,0,0,k__Bacteria;p__Proteobacteria,5.95,MT
ASV_24,149,728,43,2,1366,2,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter_pascens,3,CRT
ASV_240,155,0,0,11,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,#N/A,#N/A
ASV_241,32,0,0,290,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,6,CRT
ASV_242,2,0,34,736,0,4,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,1.67,CRT
ASV_243,0,0,0,172,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,3.18,MT
ASV_244,77,62,5,170,27,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium,#N/A,#N/A
ASV_245,419,72,0,8,1,1,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,#N/A,#N/A
ASV_246,1,0,0,191,0,0,k__Bacteria,5.33,CAT
ASV_247,1,13,0,174,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces,5,MT
ASV_248,8,57,0,0,100,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,2.5,MT
ASV_249,1,18,1,0,154,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Intrasporangium,#N/A,#N/A
ASV_25,49,1493,8,6,521,19,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium,1,CRT
ASV_250,0,130,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora,10.65,CAT
ASV_251,2,120,0,8,55,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,#N/A,#N/A
